"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"orgánico",1665,823912,55.35011,42.05115,1.094
"afianzar",552,161313,18.35031,8.23316,1.093
"auge",604,192311,20.07896,9.81525,1.093
"constructor",794,305817,26.39519,15.60841,1.093
"serranía",331,30072,11.00354,1.53483,1.093
"integral",2453,1294452,81.54584,66.06676,1.093
"voltear",489,124401,16.25598,6.34923,1.093
"norte",4475,2499537,148.76381,127.57238,1.093
"vocación",911,375952,30.28466,19.18799,1.093
"dolor",3375,1844867,112.19617,94.15907,1.093
"migaja",318,22992,10.57137,1.17347,1.093
"viraje",323,26527,10.73759,1.35390,1.093
"perpetuar",427,89052,14.19489,4.54507,1.092
"neutralizar",447,101000,14.85976,5.15488,1.092
"pagar",7033,4028406,233.80020,205.60341,1.092
"profascista",278,285,9.24164,0.01455,1.092
"individualismo",358,48162,11.90110,2.45811,1.092
"recalcitrante",300,13906,9.97299,0.70974,1.092
"necesariamente",1085,482440,36.06899,24.62297,1.092
"satisfacer",2027,1044483,67.38419,53.30875,1.092
"tas",323,27967,10.73759,1.42739,1.092
"inocente",777,298847,25.83005,15.25267,1.092
"prepotencia",332,33548,11.03678,1.71224,1.092
"ffaa",301,15134,10.00624,0.77242,1.092
"haití",500,133997,16.62165,6.83899,1.092
"galil",278,1578,9.24164,0.08054,1.092
"incrementar",2353,1240057,78.22150,63.29053,1.091
"feroz",458,109661,15.22544,5.59692,1.091
"centralización",327,31543,10.87056,1.60990,1.091
"lógicamente",577,180822,19.18139,9.22887,1.091
"pretensión",1011,440016,33.60899,22.45772,1.091
"penetrar",709,259966,23.56951,13.26825,1.091
"dirigir",7120,4087647,236.69237,208.62698,1.091
"desesperación",505,138383,16.78787,7.06285,1.091
"entraña",399,75431,13.26408,3.84988,1.091
"quebrar",700,255273,23.27032,13.02873,1.091
"solidario",1199,553309,39.85873,28.24001,1.091
"objetivo",10734,6250377,356.83371,319.00928,1.090
"gue",283,6849,9.40786,0.34956,1.090
"estallido",419,88137,13.92895,4.49837,1.090
"tribuna",550,166434,18.28382,8.49453,1.090
"cometido",479,124257,15.92355,6.34188,1.090
"aliar",628,213533,20.87680,10.89838,1.090
"ejidal",315,26696,10.47164,1.36252,1.090
"atrás",2681,1440744,89.12531,73.53327,1.090
"hidalgo",730,274779,24.26762,14.02428,1.090
"ignorante",484,127814,16.08976,6.52342,1.090
"vicente",1229,573296,40.85603,29.26011,1.090
"racista",462,114874,15.35841,5.86299,1.090
"optimismo",518,148374,17.22004,7.57277,1.090
"mentalidad",579,185036,19.24788,9.44394,1.090
"procup",269,97,8.94245,0.00495,1.089
"convertir",9550,5551224,317.47363,283.32562,1.089
"acopio",374,63597,12.43300,3.24589,1.089
"provincia",5766,3289089,191.68094,167.86986,1.089
"grito",1034,458844,34.37358,23.41867,1.089
"afrodescendiente",321,32341,10.67110,1.65063,1.089
"calibre",524,153935,17.41949,7.85660,1.089
"nal",280,8008,9.30813,0.40872,1.089
"voracidad",299,19539,9.93975,0.99724,1.089
"defensores",326,35985,10.83732,1.83662,1.088
"donde",29462,17472581,979.41443,891.77264,1.088
"centralismo",302,22040,10.03948,1.12489,1.088
"desembarco",384,71171,12.76543,3.63245,1.088
"lado",9212,5355785,306.23740,273.35071,1.088
"infamia",306,24563,10.17245,1.25366,1.088
"retrógrado",314,29583,10.43840,1.50987,1.088
"pandemia",323,35149,10.73759,1.79395,1.088
"obrador",469,122648,15.59111,6.25976,1.088
"tanqueta",274,5980,9.10867,0.30521,1.088
"parte",34701,20620591,1153.57617,1052.44202,1.088
"graduado",426,97132,14.16165,4.95746,1.088
"ne",348,50597,11.56867,2.58239,1.088
"lejos",2552,1370581,84.83693,69.95226,1.088
"calumniar",288,15127,9.57407,0.77206,1.087
"empeño",555,175105,18.45004,8.93708,1.087
"ambición",575,187220,19.11490,9.55541,1.087
"yaqui",294,19033,9.77353,0.97141,1.087
"abastecimiento",568,183232,18.88220,9.35187,1.087
"devenir",643,228178,21.37545,11.64584,1.087
"caduco",323,36520,10.73759,1.86392,1.087
"inútil",645,229551,21.44193,11.71592,1.087
"incesante",373,66607,12.39975,3.39952,1.087
"sabines",273,7076,9.07542,0.36115,1.087
"policíaco-militares",261,86,8.67650,0.00439,1.087
"convergencia",494,139883,16.42220,7.13941,1.087
"persistencia",400,84063,13.29732,4.29044,1.086
"cisen",270,6157,8.97569,0.31424,1.086
"indulto",355,57184,11.80138,2.91858,1.086
"trampa",707,268274,23.50302,13.69228,1.086
"alfabetización",381,72889,12.66570,3.72014,1.086
"afganistán",508,149253,16.88760,7.61763,1.086
"antidictatorial",260,960,8.64326,0.04900,1.086
"golpista",361,61704,12.00084,3.14927,1.086
"plantación",548,174190,18.21733,8.89038,1.086
"esclarecer",447,113745,14.85976,5.80536,1.086
"reclutar",469,127072,15.59111,6.48555,1.086
"sindicalista",404,88136,13.43030,4.49832,1.085
"despiadado",342,50964,11.36921,2.60112,1.085
"prensa",3412,1893833,113.42618,96.65821,1.085
"simultáneamente",611,212799,20.31166,10.86092,1.085
"cooperar",453,118345,15.05922,6.04014,1.085
"presidencia",1523,761179,50.62956,38.84936,1.085
"rda",280,15055,9.30813,0.76838,1.085
"desenvolvimiento",327,43410,10.87056,2.21558,1.085
"lar",330,45240,10.97029,2.30898,1.085
"prostitución",431,105975,14.32787,5.40879,1.085
"oprobioso",263,5101,8.74299,0.26035,1.085
"excluir",1215,576867,40.39062,29.44237,1.085
"regar",461,124060,15.32517,6.33182,1.085
"voladura",282,16761,9.37461,0.85545,1.084
"desmoralizar",278,14462,9.24164,0.73812,1.084
"firmemente",424,102168,14.09516,5.21449,1.084
"asalariado",348,56619,11.56867,2.88974,1.084
"montt",359,63240,11.93435,3.22767,1.084
"trasmitir",433,107698,14.39435,5.49673,1.084
"atropello",387,80282,12.86516,4.09747,1.084
"subestimar",357,62476,11.86786,3.18868,1.084
"honradez",317,39092,10.53813,1.99519,1.084
"conducta",2046,1078499,68.01582,55.04487,1.084
"perfeccionar",570,191521,18.94869,9.77493,1.084
"cañera",267,9507,8.87596,0.48522,1.084
"repudiar",397,87873,13.19759,4.48490,1.083
"arauquita",254,2272,8.44380,0.11596,1.083
"cnd",262,7280,8.70975,0.37156,1.083
"erradicación",383,80158,12.73219,4.09114,1.083
"exacerbar",330,48469,10.97029,2.47378,1.083
"valeroso",288,23316,9.57407,1.19001,1.083
"pactar",776,316896,25.79681,16.17387,1.083
"bayamo",272,13859,9.04218,0.70734,1.083
"extradición",386,83313,12.83192,4.25216,1.082
"pobres",263,9341,8.74299,0.47675,1.082
"electricidad",1035,474337,34.40683,24.20940,1.082
"así",32160,19211909,1069.10486,980.54517,1.082
"abolir",347,60612,11.53543,3.09354,1.082
"estimular",1075,498929,35.73656,25.46454,1.082
"urgente",1086,505774,36.10223,25.81390,1.082
"mata",482,142189,16.02328,7.25710,1.082
"heroicamente",256,6210,8.51029,0.31695,1.082
"delito",3033,1678686,100.82696,85.67746,1.082
"disciplina",1576,801446,52.39146,40.90452,1.082
"lucrar",314,41438,10.43840,2.11493,1.082
"incapacidad",765,313313,25.43113,15.99100,1.081
"agravar",694,270659,23.07086,13.81400,1.081
"preocupación",1710,882885,56.84606,45.06104,1.081
"torturador",280,21653,9.30813,1.10513,1.081
"transformador",492,149375,16.35571,7.62386,1.081
"secundario",2363,1276611,78.55395,65.15619,1.081
"veracruz",938,418314,31.18222,21.35008,1.081
"aguascalientes",378,81270,12.56597,4.14789,1.081
"juárez",696,273123,23.13734,13.93976,1.081
"liberador",313,42365,10.40516,2.16224,1.081
"impotencia",419,106417,13.92895,5.43135,1.081
"tabasco",386,86630,12.83192,4.42146,1.081
"cadáver",724,290771,24.06816,14.84049,1.080
"polí",245,2029,8.14461,0.10356,1.080
"cen",290,29236,9.64056,1.49216,1.080
"confluir",389,88937,12.93165,4.53920,1.080
"esfera",855,369915,28.42303,18.87987,1.080
"ron",493,151781,16.38895,7.74666,1.080
"paga",482,145152,16.02328,7.40833,1.080
"guaviare",261,11967,8.67650,0.61078,1.080
"cional",245,2374,8.14461,0.12117,1.080
"considerable",806,340724,26.79411,17.39001,1.080
"vez",35006,20965005,1163.71533,1070.02039,1.080
"comunal",747,305286,24.83275,15.58131,1.080
"cruento",291,30430,9.67380,1.55310,1.080
"emiliano",394,92563,13.09786,4.72427,1.080
"lanza",454,128760,15.09246,6.57170,1.080
"desarme",310,41923,10.30543,2.13968,1.080
"rectificación",387,88392,12.86516,4.51139,1.080
"privilegiado",319,47453,10.60462,2.42193,1.080
"triunfante",293,31831,9.74029,1.62460,1.080
"fmln-fdr",240,83,7.97839,0.00424,1.080
"elenos",241,949,8.01164,0.04844,1.080
"mediano",1140,543681,37.89737,27.74861,1.079
"culpable",846,366401,28.12384,18.70052,1.079
"tacho",263,14822,8.74299,0.75649,1.079
"favorable",1137,542373,37.79764,27.68185,1.079
"belaúnde",247,5265,8.21110,0.26872,1.079
"ofrendar",267,17498,8.87596,0.89307,1.079
"desinformación",313,45346,10.40516,2.31439,1.079
"cooptar",260,13393,8.64326,0.68356,1.079
"respaldar",930,418232,30.91628,21.34589,1.079
"incluso",8938,5253541,297.12872,268.13235,1.079
"votar",2188,1178181,72.73637,60.13248,1.079
"individuo",2212,1192777,73.53420,60.87743,1.079
"armamentista",251,8704,8.34407,0.44424,1.079
"tica",277,24437,9.20840,1.24723,1.079
"buey",335,59689,11.13651,3.04643,1.079
"discriminación",956,434919,31.78061,22.19757,1.078
"iván",635,241147,21.10950,12.30776,1.078
"propiciar",905,404237,30.08520,20.63161,1.078
"brutalidad",308,43722,10.23894,2.23150,1.078
"pfp",246,6502,8.17785,0.33185,1.078
"potencia",2208,1192045,73.40123,60.84008,1.078
"orga",240,3175,7.97839,0.16205,1.078
"organizacion",296,37024,9.84002,1.88965,1.078
"infinidad",470,142434,15.62436,7.26960,1.078
"erigir",545,187756,18.11760,9.58277,1.078
"azotar",398,99029,13.23084,5.05428,1.078
"reconstruir",684,272143,22.73842,13.88974,1.078
"burocratismo",241,4627,8.01164,0.23615,1.078
"frontera",1929,1025106,64.12634,52.31977,1.078
"morazán",256,13893,8.51029,0.70908,1.077
"anticomunista",260,16315,8.64326,0.83269,1.077
"arenas",413,109038,13.72949,5.56513,1.077
"terminación",539,185233,17.91814,9.45400,1.077
"vásquez",376,86841,12.49949,4.43223,1.077
"víctimas",326,56654,10.83732,2.89153,1.077
"redoblar",313,48820,10.40516,2.49169,1.077
"atroz",321,53730,10.67110,2.74229,1.077
"transcurrir",1033,484302,34.34034,24.71800,1.077
"salinas",344,67827,11.43570,3.46178,1.077
"panista",366,81147,12.16705,4.14161,1.077
"marxista-leninistas",233,719,7.74569,0.03670,1.077
"instauración",299,40639,9.93975,2.07415,1.077
"sindicalismo",317,51601,10.53813,2.63363,1.077
"roer",417,112233,13.86246,5.72819,1.077
"mano",10150,5999045,337.41959,306.18167,1.077
"pesar",8202,4821614,272.66162,246.08749,1.077
"cárdeno",510,168801,16.95409,8.61533,1.077
"iraq",379,89979,12.59921,4.59238,1.077
"superestructura",261,18604,8.67650,0.94952,1.077
"mentiroso",373,86480,12.39975,4.41380,1.076
"aéreo",1580,816876,52.52443,41.69205,1.076
"sumisión",344,69117,11.43570,3.52762,1.076
"acentuar",544,190257,18.08436,9.71041,1.076
"lechería",258,17572,8.57677,0.89685,1.076
"termoeléctrico",274,27268,9.10867,1.39172,1.076
"caguán",239,6532,7.94515,0.33338,1.076
"coadyuvar",327,59829,10.87056,3.05358,1.076
"materializar",579,212621,19.24788,10.85184,1.076
"desocupación",292,38957,9.70705,1.98830,1.076
"provocador",303,45729,10.07272,2.33394,1.076
"mandato",1147,556835,38.13008,28.41997,1.076
"traba",401,105278,13.33057,5.37322,1.076
"voz",4081,2334823,135.66595,119.16564,1.075
"repugnante",287,36697,9.54083,1.87296,1.075
"alimentar",1433,730887,47.63766,37.30331,1.075
"incontenible",251,14968,8.34407,0.76394,1.075
"injustamente",316,54467,10.50489,2.77991,1.075
"dirigencia",463,143669,15.39165,7.33264,1.075
"saña",253,16609,8.41056,0.84770,1.075
"audacia",286,36642,9.50759,1.87015,1.075
"aceleradamente",245,11970,8.14461,0.61093,1.075
"sobrevivencia",285,36240,9.47434,1.84963,1.075
"honroso",273,28997,9.07542,1.47996,1.075
"trascendental",414,114482,13.76273,5.84298,1.075
"perecer",332,64903,11.03678,3.31255,1.075
"zas",250,15220,8.31083,0.77680,1.075
"congruencia",295,42620,9.80678,2.17526,1.075
"priorizar",555,200294,18.45004,10.22269,1.075
"armadas",241,9994,8.01164,0.51008,1.075
"silencio",1629,851385,54.15335,43.45333,1.075
"renuncia",761,325407,25.29816,16.60826,1.075
"pauperización",230,3724,7.64596,0.19007,1.074
"zebedeo",228,2531,7.57947,0.12918,1.074
"bre",235,6869,7.81218,0.35058,1.074
"sufrir",5119,2967991,170.17252,151.48152,1.074
"beligerante",264,24577,8.77623,1.25437,1.074
"franqueza",262,23392,8.70975,1.19389,1.074
"catástrofe",512,175047,17.02057,8.93412,1.074
"alfonso",1035,492202,34.40683,25.12120,1.074
"gobernabilidad",350,77079,11.63516,3.93399,1.074
"elecciones",334,67378,11.10327,3.43887,1.074
"seriamente",482,157166,16.02328,8.02150,1.074
"semicolonial",228,3361,7.57947,0.17154,1.074
"escalada",473,151999,15.72409,7.75779,1.074
"polarización",316,56900,10.50489,2.90409,1.074
"hondureño",377,93913,12.53273,4.79317,1.074
"loma",391,102485,12.99813,5.23067,1.074
"pdc",240,11022,7.97839,0.56255,1.074
"crear",10718,6367530,356.30182,324.98859,1.074
"lumpen",232,6291,7.71245,0.32108,1.074
"militarismo",244,13626,8.11137,0.69545,1.074
"arruinar",475,153873,15.79057,7.85343,1.074
"poblar",1268,635010,42.15252,32.40990,1.074
"contundente",680,278481,22.60545,14.21323,1.073
"nutrir",641,255380,21.30896,13.03419,1.073
"coyuntural",302,49697,10.03948,2.53646,1.073
"cuando",39788,24016029,1322.68481,1225.73975,1.073
"uribismo",236,9734,7.84542,0.49681,1.073
"magdalena",564,208821,18.74923,10.65789,1.073
"desalentar",280,36469,9.30813,1.86132,1.073
"fosa",411,116094,13.66300,5.92525,1.073
"desertar",263,26263,8.74299,1.34042,1.073
"mento",228,5171,7.57947,0.26392,1.073
"socialdemócrata",339,72926,11.26948,3.72203,1.073
"unificar",661,268463,21.97383,13.70192,1.073
"retroceso",471,153339,15.65760,7.82618,1.073
"comandantes",229,6457,7.61272,0.32955,1.073
"pequeñoburgués",227,5304,7.54623,0.27071,1.073
"constantemente",943,440156,31.34844,22.46486,1.073
"instrumentar",325,64967,10.80408,3.31581,1.072
"apartheid",269,31027,8.94245,1.58357,1.072
"intelectualidad",251,20194,8.34407,1.03067,1.072
"prebenda",258,24449,8.57677,1.24784,1.072
"carcelario",326,65758,10.83732,3.35618,1.072
"chingo",237,11752,7.87866,0.59980,1.072
"ara",479,158889,15.92355,8.10944,1.072
"ilegal",1408,723248,46.80658,36.91343,1.072
"corporativización",218,392,7.24704,0.02001,1.072
"libra",580,220317,19.28112,11.24463,1.072
"cabañas",268,30826,8.90921,1.57331,1.072
"politico",295,47325,9.80678,2.41539,1.072
"galeano",281,38961,9.34137,1.98851,1.072
"tupacamaristas",217,102,7.21380,0.00521,1.072
"semejante",1066,516002,35.43737,26.33592,1.072
"perredistas",251,20942,8.34407,1.06885,1.072
"ba",330,69027,10.97029,3.52303,1.072
"fmi",458,146839,15.22544,7.49443,1.072
"incuestionable",303,52806,10.07272,2.69513,1.072
"utopía",404,114646,13.43030,5.85135,1.072
"checoslovaquia",252,22348,8.37731,1.14061,1.072
"iniciar",5859,3430619,194.77255,175.09332,1.072
"lucio",414,120854,13.76273,6.16820,1.072
"fusilar",333,71657,11.07002,3.65726,1.072
"buró",267,31635,8.87596,1.61460,1.071
"transitar",824,370262,27.39249,18.89758,1.071
"conversar",748,324112,24.86600,16.54216,1.071
"chiquito",374,96895,12.43300,4.94537,1.071
"deslindar",274,36158,9.10867,1.84545,1.071
"cimiento",383,102465,12.73219,5.22965,1.071
"preocupar",2773,1555594,92.18370,79.39503,1.071
"ratificar",949,446615,31.54790,22.79452,1.071
"arbitrariedad",323,66019,10.73759,3.36950,1.071
"hipocresía",322,65507,10.70435,3.34337,1.071
"expoliación",225,6576,7.47974,0.33563,1.071
"claudicar",244,18334,8.11137,0.93574,1.071
"derribar",513,181990,17.05382,9.28848,1.071
"ganadería",564,213118,18.74923,10.87720,1.071
"decididamente",296,50180,9.84002,2.56111,1.071
"aventar",262,29533,8.70975,1.50732,1.071
"obrero-campesina",214,518,7.11407,0.02644,1.071
"emerger",551,205504,18.31706,10.48860,1.071
"obstaculizar",373,97314,12.39975,4.96675,1.071
"incesantemente",238,15275,7.91191,0.77961,1.071
"enajenación",313,61056,10.40516,3.11620,1.071
"hambruna",273,36828,9.07542,1.87964,1.071
"acantonar",223,6471,7.41326,0.33027,1.071
"falacia",319,65152,10.60462,3.32525,1.070
"miriam",330,71894,10.97029,3.66935,1.070
"botar",325,69055,10.80408,3.52446,1.070
"narcoparamilitarismo",212,370,7.04758,0.01888,1.070
"elite",448,144032,14.89300,7.35116,1.070
"responsabilizar",408,119785,13.56327,6.11364,1.070
"arrocero",241,18546,8.01164,0.94656,1.070
"subempleo",225,8809,7.47974,0.44960,1.070
"ridículo",561,213535,18.64950,10.89849,1.070
"moisés",419,127106,13.92895,6.48729,1.070
"alca",250,24225,8.31083,1.23641,1.070
"esencial",1988,1082412,66.08770,55.24458,1.070
"managua",310,60942,10.30543,3.11038,1.070
"scim",210,113,6.98110,0.00577,1.070
"vivo",2993,1694633,99.49722,86.49136,1.070
"arbitrario",522,190126,17.35301,9.70373,1.070
"instaurar",511,183499,16.98733,9.36550,1.070
"victimario",262,31915,8.70975,1.62889,1.070
"antiaéreo",254,27044,8.44380,1.38028,1.070
"jbg",211,883,7.01434,0.04507,1.070
"deuda",2499,1394160,83.07504,71.15570,1.070
"peso",6365,3748413,211.59367,191.31302,1.070
"tergiversar",274,39417,9.10867,2.01178,1.070
"priista",305,58330,10.13921,2.97707,1.070
"fortaleza",926,436541,30.78331,22.28036,1.070
"brega",220,6902,7.31353,0.35227,1.069
"considerablemente",544,204289,18.08436,10.42658,1.069
"dispersión",399,115995,13.26408,5.92020,1.069
"programático",319,67318,10.60462,3.43580,1.069
"discriminar",453,148957,15.05922,7.60253,1.069
"pacto",1185,594941,39.39332,30.36484,1.069
"tunas",256,29069,8.51029,1.48364,1.069
"bierno",211,1702,7.01434,0.08687,1.069
"dis",235,16323,7.81218,0.83310,1.069
"artillar",217,5370,7.21380,0.27408,1.069
"dar",48902,29665858,1625.66443,1514.09802,1.069
"condena",914,430346,30.38439,21.96417,1.069
"andrés",1356,699679,45.07793,35.71050,1.069
"reconstitución",224,10057,7.44650,0.51329,1.069
"brigadista",242,21135,8.04488,1.07870,1.069
"neocolonialismo",214,4196,7.11407,0.21416,1.069
"enjuiciar",328,73888,10.90381,3.77113,1.069
"restitución",356,91218,11.83462,4.65562,1.069
"quiché",221,8984,7.34677,0.45853,1.069
"fraternidad",356,91588,11.83462,4.67451,1.068
"panamá",863,400693,28.68898,20.45073,1.068
"propagandístico",263,34932,8.74299,1.78287,1.068
"presentacion",266,36818,8.84272,1.87913,1.068
"patraña",230,14901,7.64596,0.76052,1.068
"gaviria",268,38273,8.90921,1.95339,1.068
"traficar",327,74405,10.87056,3.79751,1.068
"entreguista",211,3717,7.01434,0.18971,1.068
"plebiscito",306,61801,10.17245,3.15422,1.068
"consumar",497,178375,16.52192,9.10398,1.068
"cut",270,39964,8.97569,2.03970,1.068
"sequía",499,179659,16.58841,9.16951,1.068
"disperso",410,125692,13.62976,6.41512,1.068
"erario",274,42814,9.10867,2.18516,1.068
"rectificar",417,130222,13.86246,6.64632,1.068
"comerciante",792,359111,26.32870,18.32845,1.068
"milpa",226,13847,7.51299,0.70673,1.068
"heriberto",239,21918,7.94515,1.11866,1.068
"entrañar",313,67121,10.40516,3.42575,1.067
"em",342,84922,11.36921,4.33428,1.067
"concentrar",1692,908831,56.24768,46.38528,1.067
"abucheos",203,287,6.74839,0.01465,1.067
"tlaxcala",336,81567,11.16975,4.16305,1.067
"estallar",581,231168,19.31436,11.79845,1.067
"covid-19",202,0,6.71515,0.00000,1.067
"campesinos",228,16007,7.57947,0.81697,1.067
"quinquenio",237,21675,7.87866,1.10626,1.067
"gendarme",256,33352,8.51029,1.70223,1.067
"ideario",275,44986,9.14191,2.29601,1.067
"andamiaje",236,21239,7.84542,1.08400,1.067
"moler",434,142257,14.42760,7.26057,1.067
"nacionalizar",302,61880,10.03948,3.15826,1.067
"coordinación",1504,795869,49.99794,40.61988,1.067
"confusión",724,319692,24.06816,16.31657,1.067
"amlo",274,44918,9.10867,2.29254,1.067
"desarticular",272,43710,9.04218,2.23089,1.067
"espontáneo",529,200658,17.58571,10.24126,1.067
"contraofensiva",215,8962,7.14731,0.45741,1.067
"plusvalía",310,67079,10.30543,3.42361,1.067
"ambulante",326,76882,10.83732,3.92393,1.067
"ceiba",231,18935,7.67920,0.96641,1.066
"incomparablemente",207,4305,6.88137,0.21972,1.066
"referendo",292,56246,9.70705,2.87071,1.066
"ideólogo",257,35391,8.54353,1.80630,1.066
"suprimir",613,253045,20.37815,12.91501,1.066
"conversación",1627,872605,54.08687,44.53637,1.066
"distensión",247,29517,8.21110,1.50650,1.066
"rios",273,45473,9.07542,2.32087,1.066
"feliciano",249,30817,8.27758,1.57285,1.066
"tupac",224,15576,7.44650,0.79497,1.066
"manzanillo",242,26585,8.04488,1.35686,1.066
"vengar",877,414612,29.15438,21.16113,1.066
"garrucha",205,4104,6.81488,0.20946,1.066
"reclutamiento",366,102540,12.16705,5.23348,1.066
"calderonista",205,4197,6.81488,0.21421,1.066
"reorganización",311,69092,10.33867,3.52635,1.066
"chiapanecos",211,8005,7.01434,0.40856,1.066
"dih",212,8711,7.04758,0.44460,1.066
"monstruoso",282,51636,9.37461,2.63542,1.066
"infiltración",287,54742,9.54083,2.79394,1.066
"sintetizar",455,157462,15.12571,8.03661,1.066
"imperioso",284,52957,9.44110,2.70284,1.066
"mortalidad",618,257268,20.54436,13.13055,1.066
"inquebrantable",246,30050,8.17785,1.53370,1.065
"partidista",346,91313,11.50219,4.66047,1.065
"empobrecimiento",244,28966,8.11137,1.47838,1.065
"desconocer",2222,1238336,73.86664,63.20269,1.065
"mucho",44716,27221114,1486.50781,1389.32227,1.065
"contubernio",214,11019,7.11407,0.56239,1.065
"presionar",908,435404,30.18493,22.22233,1.065
"ci-mm",196,91,6.51569,0.00464,1.065
"conscientemente",263,41158,8.74299,2.10064,1.065
"atleta",704,310956,23.40329,15.87070,1.065
"instructor",510,192356,16.95409,9.81754,1.065
"cabrón",282,53039,9.37461,2.70703,1.065
"or",397,123424,13.19759,6.29936,1.065
"unasur",255,36678,8.47704,1.87199,1.065
"humanismo",290,58121,9.64056,2.96640,1.065
"mestizo",334,85152,11.10327,4.34602,1.065
"selectivo",541,211820,17.98463,10.81096,1.065
"desa",207,7673,6.88137,0.39162,1.065
"evidenciar",981,481338,32.61169,24.56672,1.065
"fal",208,8548,6.91461,0.43628,1.065
"tolima",307,69328,10.20570,3.53839,1.064
"capturar",1070,536249,35.57034,27.36929,1.064
"fuero",440,150783,14.62706,7.69572,1.064
"estrechamente",384,116572,12.76543,5.94965,1.064
"socialdemocracia",250,34620,8.31083,1.76695,1.064
"irreversible",354,98425,11.76813,5.02346,1.064
"violentamente",275,50234,9.14191,2.56386,1.064
"rehén",308,70441,10.23894,3.59520,1.064
"autodenominar",256,38717,8.51029,1.97605,1.064
"aguas",450,157527,14.95949,8.03993,1.064
"velar",650,280111,21.60815,14.29642,1.064
"apuntalar",284,56189,9.44110,2.86780,1.064
"socavar",274,50191,9.10867,2.56167,1.064
"guazapa",193,607,6.41596,0.03098,1.064
"arribar",589,243224,19.58031,12.41376,1.064
"afro",259,41190,8.61002,2.10227,1.064
"intensificación",245,32799,8.14461,1.67401,1.064
"exclusión",726,327530,24.13464,16.71661,1.064
"revolucionariamente",193,1309,6.41596,0.06681,1.063
"reactivación",300,66904,9.97299,3.41467,1.063
"gobernación",643,276999,21.37545,14.13759,1.063
"aporte",1590,857068,52.85686,43.74339,1.063
"kennedy",345,94576,11.46894,4.82701,1.063
"aprestar",232,25389,7.71245,1.29581,1.063
"jambaló",192,942,6.38272,0.04808,1.063
"desconfianza",415,137551,13.79597,7.02038,1.063
"agitar",494,186041,16.42220,9.49524,1.063
"charro",240,30568,7.97839,1.56014,1.063
"intimidación",292,62439,9.70705,3.18679,1.063
"agresivo",753,344870,25.03221,17.60161,1.063
"ajusticiar",210,12217,6.98110,0.62354,1.063
"humanista",350,98076,11.63516,5.00564,1.063
"mili",216,16137,7.18055,0.82361,1.063
"asestar",232,26009,7.71245,1.32746,1.063
"desterrar",315,76913,10.47164,3.92552,1.063
"pasado",1230,637732,40.88927,32.54882,1.063
"escrúpulo",272,50727,9.04218,2.58903,1.063
"cañeros",213,14588,7.08083,0.74455,1.063
"finqueros",193,2332,6.41596,0.11902,1.063
"armada",274,51978,9.10867,2.65287,1.063
"fechoría",219,18277,7.28028,0.93283,1.063
"decretar",587,243800,19.51382,12.44316,1.063
"grandioso",336,89988,11.16975,4.59284,1.063
"demagogo",217,17125,7.21380,0.87403,1.063
"socioeconómico",513,198560,17.05382,10.13419,1.063
"alfabetizar",209,12373,6.94785,0.63150,1.063
"llano",500,190803,16.62165,9.73828,1.063
"colonial",658,287712,21.87410,14.68436,1.063
"tabaco",662,290233,22.00707,14.81303,1.063
"conjunto",5949,3531452,197.76447,180.23967,1.063
"conjurar",239,31263,7.94515,1.59561,1.062
"implacable",304,71170,10.10597,3.63240,1.062
"zero",293,64579,9.74029,3.29601,1.062
"eeuu",1163,597976,38.66197,30.51974,1.062
"ria",219,19241,7.28028,0.98203,1.062
"políti",189,1047,6.28299,0.05344,1.062
"continuador",219,19499,7.28028,0.99520,1.062
"agrupamiento",236,30040,7.84542,1.53319,1.062
"miami",652,285290,21.67464,14.56075,1.062
"descaradamente",229,25904,7.61272,1.32210,1.062
"desafiar",461,168346,15.32517,8.59211,1.062
"marzo",5154,3046755,171.33601,155.50151,1.062
"letrero",271,51899,9.00894,2.64884,1.062
"kilowatts",190,2238,6.31623,0.11422,1.062
"exclamación",216,18298,7.18055,0.93390,1.062
"inculcar",321,82707,10.67110,4.22123,1.062
"jóvenes",325,85255,10.80408,4.35128,1.062
"atizar",214,17273,7.11407,0.88159,1.062
"pgr",326,86218,10.83732,4.40043,1.062
"bohío",192,4197,6.38272,0.21421,1.062
"plática",284,60660,9.44110,3.09599,1.062
"demandar",1585,859013,52.69064,43.84265,1.062
"gremial",448,161363,14.89300,8.23571,1.062
"virtualmente",268,51039,8.90921,2.60495,1.061
"acontecer",544,220512,18.08436,11.25458,1.061
"globalizar",319,82442,10.60462,4.20771,1.061
"mm",1151,593073,38.26305,30.26950,1.061
"cial",192,4606,6.38272,0.23508,1.061
"indolencia",208,14468,6.91461,0.73842,1.061
"reacomodo",196,7157,6.51569,0.36528,1.061
"calamidad",245,37256,8.14461,1.90149,1.061
"curable",199,9147,6.61542,0.46685,1.061
"maniobrar",237,32560,7.87866,1.66181,1.061
"artero",204,12320,6.78164,0.62879,1.061
"contraponer",326,87223,10.83732,4.45172,1.061
"atentamente",330,89688,10.97029,4.57753,1.061
"deserción",270,52880,8.97569,2.69891,1.061
"persuadir",295,68251,9.80678,3.48342,1.061
"querétaro",395,129679,13.13111,6.61861,1.061
"blindar",366,111894,12.16705,5.71089,1.061
"irresponsable",347,100391,11.53543,5.12380,1.061
