"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"agresión",4645,431481,154.41518,22.02210,2.085
"opresión",3557,95655,118.24645,4.88208,2.081
"resistencia",7219,1243845,239.98344,63.48386,2.080
"sembrar",4212,323021,140.02083,16.48648,2.061
"nacional",39159,11374891,1301.77478,580.55627,2.060
"construir",13696,3334508,455.30038,170.18797,2.055
"soberanía",4312,361440,143.34515,18.44732,2.054
"interés",18315,4800957,608.85120,245.03319,2.054
"tarea",10508,2326133,349.32071,118.72211,2.054
"luchador",3717,178449,123.56538,9.10775,2.049
"militante",4400,397114,146.27057,20.26807,2.048
"farc",3856,231174,128.18620,11.79875,2.041
"violencia",9210,1941393,306.17090,99.08560,2.040
"imponer",9065,1904918,301.35062,97.22398,2.035
"risas",3164,23500,105.18183,1.19940,2.028
"solidaridad",4997,623115,166.11682,31.80279,2.019
"condición",18995,5140782,631.45667,262.37732,2.018
"tropa",4539,483645,150.89137,24.68447,2.012
"gubernamental",4629,525006,153.88329,26.79547,2.002
"destruir",5975,967262,198.62878,49.36751,1.999
"movilización",4408,457162,146.53651,23.33282,1.999
"morir",12174,3018907,404.70407,154.08018,1.986
"unidad",14128,3665195,469.66150,187.06570,1.984
"diálogo",6344,1111066,210.89557,56.70704,1.984
"ahí",12671,3210455,421.22598,163.85651,1.975
"campo",14412,3828867,479.10260,195.41925,1.960
"dirigente",6259,1129776,208.06987,57.66196,1.954
"mir",3150,98109,104.71643,5.00733,1.950
"ofensiva",3375,177559,112.19617,9.06233,1.946
"montaña",5649,943142,187.79146,48.13646,1.943
"social",37611,11671577,1250.31409,595.69867,1.941
"táctica",3246,141935,107.90779,7.24414,1.939
"cuánto",5917,1039729,196.70067,53.06611,1.938
"explotador",2941,40573,97.76858,2.07078,1.938
"nos",63811,20740075,2121.28882,1058.54028,1.917
"sandinista",2882,44303,95.80721,2.26115,1.915
"hoy",29658,9159018,985.93005,467.46164,1.914
"pobre",6475,1286332,215.25043,65.65233,1.903
"salvador",4868,744621,161.82843,38.00427,1.897
"riqueza",4695,712059,156.07735,36.34235,1.878
"propaganda",3403,266425,113.12699,13.59791,1.876
"escuela",13176,3666838,438.01389,187.14957,1.874
"fuerzas",3442,284633,114.42347,14.52721,1.872
"voluntad",6198,1246831,206.04204,63.63627,1.870
"campaña",10371,2713171,344.76639,138.47592,1.865
"estados",14160,4059479,470.72528,207.18933,1.858
"izquierda",6659,1430773,221.36720,73.02438,1.857
"ciento",4507,683440,149.82759,34.88169,1.852
"asesinato",4277,605159,142.18164,30.88635,1.850
"hambre",4069,532294,135.26703,27.16744,1.850
"agrario",3948,490844,131.24458,25.05190,1.849
"monopolio",3007,162070,99.96264,8.27179,1.847
"fusil",2798,88696,93.01479,4.52690,1.847
"decena",3618,382488,120.27429,19.52158,1.843
"fábrica",4348,648351,144.54192,33.09080,1.837
"brigada",3136,221296,104.25102,11.29459,1.835
"preso",3819,463987,126.95621,23.68116,1.835
"méxico",14492,4260163,481.76205,217.43192,1.833
"desaparición",3638,408792,120.93917,20.86409,1.828
"nación",7675,1847903,255.14240,94.31402,1.828
"estratégico",5403,1039129,179.61360,53.03548,1.827
"bandera",4364,676859,145.07382,34.54580,1.821
"comando",3545,392791,117.84753,20.04743,1.815
"hombre",22427,7183672,745.54773,366.64316,1.812
"heroico",2786,123987,92.61586,6.32810,1.812
"clandestino",2895,166798,96.23939,8.51310,1.808
"histórico",9929,2703945,330.07281,138.00505,1.807
"narcotráfico",3034,218966,100.86020,11.17568,1.807
"nicaragua",3288,316578,109.30401,16.15764,1.802
"ni",35878,12106299,1192.70349,617.88617,1.801
"injusticia",3015,227364,100.22858,11.60430,1.794
"patrulla",2784,143781,92.54938,7.33835,1.794
"resistir",3776,509837,125.52674,26.02127,1.790
"maestro",7499,1866455,249.29158,95.26089,1.789
"rebelde",3202,302941,106.44508,15.46163,1.788
"millón",6266,1419136,208.30258,72.43044,1.788
"salvadoreño",2605,88424,86.59882,4.51302,1.785
"contrarrevolucionario",2437,27195,81.01395,1.38799,1.785
"qué",34998,11920140,1163.44946,608.38489,1.784
"electoral",7516,1885501,249.85674,96.23296,1.783
"gonzalo",3157,304138,104.94913,15.52272,1.774
"vanguardia",3206,322499,106.57806,16.45983,1.774
"capital",11646,3431284,387.15161,175.12726,1.771
"problema",27000,9084364,897.56940,463.65146,1.770
"transnacional",2691,142066,89.45775,7.25082,1.766
"verdadero",7794,2046323,259.09836,104.44106,1.756
"prisionero",2859,219608,95.04263,11.20844,1.754
"plan",14272,4462101,474.44852,227.73851,1.753
"jamás",4527,849716,150.49246,43.36815,1.747
"herido",2897,243482,96.30587,12.42693,1.746
"progresista",2822,216574,93.81263,11.05359,1.745
"camino",12032,3657139,399.98352,186.65454,1.744
"triunfo",4614,888260,153.38464,45.33537,1.743
"unir",22193,7456764,737.76880,380.58136,1.743
"quién",7889,2114181,262.25647,107.90443,1.742
"mentira",3651,533416,121.37133,27.22470,1.740
"construcción",10929,3260378,363.31616,166.40450,1.739
"leso",2415,74776,80.28260,3.81645,1.737
"digno",3871,624288,128.68486,31.86266,1.734
"oligárquico",2241,22490,74.49825,1.14785,1.725
"impunidad",2827,251190,93.97884,12.82034,1.719
"comité",5566,1289238,185.03227,65.80065,1.719
"defensa",8685,2473665,288.71814,126.25191,1.718
"muerto",3822,632292,127.05594,32.27118,1.717
"insurrección",2270,48475,75.46232,2.47409,1.712
"concepción",4180,775129,138.95703,39.56135,1.712
"producción",12708,4022051,422.45599,205.27907,1.711
"pobreza",4178,777083,138.89055,39.66108,1.711
"caballería",2395,99125,79.61773,5.05918,1.710
"realidad",13850,4469903,460.41986,228.13670,1.708
"allí",10247,3100138,340.64420,158.22610,1.706
"sino",23900,8326055,794.51514,424.94858,1.704
"poderoso",4227,807633,140.51947,41.22030,1.703
"soviético",2980,332375,99.06506,16.96389,1.702
"enfrentar",7701,2140947,256.00674,109.27052,1.701
"l",4131,774487,137.32812,39.52858,1.701
"ir",79839,29807267,2654.11279,1521.31531,1.699
"insurgencia",2145,28770,71.30690,1.46837,1.688
"dominante",2943,341058,97.83507,17.40705,1.685
"calderón",2784,285844,92.54938,14.58902,1.680
"comandancia",2134,34974,70.94122,1.78502,1.679
"herir",3311,491454,110.06860,25.08303,1.679
"marxismo",2285,94058,75.96096,4.80057,1.679
"policíaco",2139,38452,71.10744,1.96253,1.678
"continente",3536,582891,117.54835,29.74983,1.677
"todavía",8861,2657729,294.56897,135.64626,1.674
"batallón",2339,121159,77.75610,6.18376,1.674
"nadie",10246,3199963,340.61093,163.32100,1.673
"exigir",7403,2098862,246.10022,107.12257,1.671
"librar",2805,311581,93.24748,15.90260,1.667
"allá",7326,2087689,243.54050,106.55231,1.663
"movilizar",2838,339086,94.34452,17.30641,1.657
"reforma",7277,2084988,241.91158,106.41446,1.656
"transformación",4192,876820,139.35596,44.75149,1.654
"protesta",3745,704959,124.49619,35.97998,1.651
"forzar",3364,556204,111.83050,28.38777,1.650
"azúcar",3433,589175,114.12428,30.07055,1.646
"sacrificio",2831,352870,94.11182,18.00992,1.645
"sociedad",15841,5512431,526.60730,281.34570,1.643
"esencia",3339,558142,110.99941,28.48668,1.642
"oaxaca",2532,239564,84.17207,12.22696,1.641
"mundo",29190,10835420,970.37225,553.02258,1.639
"independencia",4322,954508,143.67758,48.71656,1.639
"población",11966,4002238,397.78946,204.26784,1.636
"combativo",2050,58030,68.14879,2.96176,1.633
"fidel",2609,282310,86.73180,14.40865,1.632
"mercenario",2109,85252,70.11014,4.35113,1.630
"plantear",8491,2636155,282.26895,134.54514,1.630
"batalla",4594,1084233,152.71976,55.33752,1.627
"derecho",26478,9851699,880.21637,502.81497,1.626
"lenin",2110,99437,70.14339,5.07511,1.619
"víctima",6329,1797612,210.39691,91.74725,1.619
"mando",3829,791728,127.28864,40.40854,1.619
"vivir",19060,6933946,633.61749,353.89752,1.616
"peruano",3368,612956,111.96347,31.28430,1.615
"fortalecer",3992,864980,132.70729,44.14720,1.614
"zafra",1957,46880,65.05716,2.39268,1.612
"congreso",7101,2126722,236.06076,108.54449,1.611
"file",1921,33337,63.86040,1.70147,1.611
"ultraderecha",1902,27752,63.22878,1.41642,1.609
"marcos",2799,391769,93.04803,19.99526,1.609
"ideología",2760,378443,91.75153,19.31513,1.607
"venir",19014,6975168,632.08832,356.00143,1.605
"fox",2390,231422,79.45152,11.81141,1.605
"conquista",2667,344368,88.65991,17.57599,1.605
"sangre",5405,1456483,179.68010,74.33656,1.604
"neoliberalismo",2027,85147,67.38419,4.34577,1.604
"marchar",3159,547869,105.01562,27.96236,1.602
"derrotar",3195,565012,106.21238,28.83731,1.601
"base",14617,5221472,485.91748,266.49557,1.599
"conquistar",2771,401068,92.11722,20.46987,1.595
"cometer",4944,1292199,164.35492,65.95177,1.593
"pues",21633,8121579,719.15253,414.51245,1.592
"desaparecer",5269,1429858,175.15901,72.97767,1.591
"masacre",2187,168894,72.70312,8.62008,1.590
"acción",16941,6242131,563.17493,318.58841,1.584
"territorio",7078,2193759,235.29616,111.96596,1.582
"discutir",3902,888196,129.71541,45.33210,1.581
"antipopular",1759,6777,58.47499,0.34589,1.579
"internacional",16939,6296306,563.10846,321.35342,1.574
"trinchera",1866,58703,62.03202,2.99611,1.573
"tonelada",3207,614690,106.61130,31.37280,1.573
"aquel",22714,8698274,755.08856,443.94601,1.572
"necesidad",13402,4853073,445.52686,247.69310,1.569
"terror",2616,375573,86.96450,19.16865,1.569
"re",2829,464475,94.04533,23.70606,1.569
"viet",1744,14029,57.97633,0.71602,1.569
"esperanza",4544,1179410,151.05760,60.19520,1.567
"acuerdo",17827,6703975,592.62848,342.16019,1.566
"desarrollar",16185,6044995,538.04297,308.52689,1.562
"confrontación",2074,160422,68.94662,8.18768,1.562
"nam",1736,20627,57.71039,1.05277,1.561
"latinoamericano",3334,687607,110.83320,35.09436,1.561
"avanzar",7649,2496596,254.27808,127.42228,1.558
"autodefensa",1785,47346,59.33931,2.41646,1.556
"economía",8323,2785983,276.68405,142.19212,1.555
"todo",151456,62742536,5034.89893,3202.27881,1.555
"cárcel",3162,629865,105.11534,32.14730,1.552
"delegación",3358,712790,111.63104,36.37966,1.552
"extranjero",5774,1726924,191.94688,88.13945,1.552
"ellos",29559,11712979,982.63898,597.81177,1.551
"impulsar",5003,1408088,166.31627,71.86656,1.550
"guatemala",2602,398912,86.49909,20.35983,1.550
